| Product Name | Retailer | Price ($) |
| --- | --- | --- |
| ATtiny85 DIP-8 | Amazon | 3.00 |
| DHT11 Temperature Sensor | Amazon | 2.00 |
| OLED 0.96" SSD1306 Display | Amazon | 3.50 |
| CR2032 Coin Cell + Holder | Amazon | 1.50 |
| 10K Resistor | Amazon | 0.10 |
| 100nF Capacitor | Amazon | 0.10 |
| PCB (custom) | JLCPCB | 2.00 |
| Shipping (Amazon items) | Amazon | 3.50 |
| Shipping (JLCPCB) | JLCPCB | 5.00 |
| 3D Printed Case (PLA) | Local/Online | 2.00 |
| **Total Estimated Cost** | **—** | **23.84** |
